key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-243088575,A Review of Recent Developments in Driver Drowsiness Detection Systems,2022,3,7,Sensors,1424-8220,22,5,2069,"Albadawi, Yaman and Takruri, Maen and Awad, Mohammed",https://www.mdpi.com/1424-8220/22/5/2069,en,,,"Continuous advancements in computing technology and artiﬁcial intelligence in the past decade have led to improvements in driver monitoring systems. Numerous experimental studies have collected real driver drowsiness data and applied various artiﬁcial intelligence algorithms and feature combinations with the goal of signiﬁcantly enhancing the performance of these systems in real-time. This paper presents an up-to-date review of the driver drowsiness detection systems implemented over the last decade. The paper illustrates and reviews recent systems using different measures to track and detect drowsiness. Each system falls under one of four possible categories, based on the information used. Each system presented in this paper is associated with a detailed description of the features, classiﬁcation algorithms, and used datasets. In addition, an evaluation of these systems is presented, in terms of the ﬁnal classiﬁcation accuracy, sensitivity, and precision. Furthermore, the paper highlights the recent challenges in the area of driver drowsiness detection, discusses the practicality and reliability of each of the four system types, and presents some of the future trends in the ﬁeld.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Theoretical only""]}",10.3390/s22052069,,,
rayyan-243088576,Fatigue Driving Detection Method Based on Combination of BP Neural Network and Time Cumulative Effect,2022,6,22,Sensors,1424-8220,22,13,4717,"Chen, Jian and Yan, Ming and Zhu, Feng and Xu, Jing and Li, Hai and Sun, Xiaoguang",https://www.mdpi.com/1424-8220/22/13/4717,en,,,"Fatigue driving has always received a lot of attention, but few studies have focused on the fact that human fatigue is a cumulative process over time, and there are no models available to reﬂect this phenomenon. Furthermore, the problem of incorrect detection due to facial expression is still not well addressed. In this article, a model based on BP neural network and time cumulative effect was proposed to solve these problems. Experimental data were used to carry out this work and validate the proposed method. Firstly, the Adaboost algorithm was applied to detect faces, and the Kalman ﬁlter algorithm was used to trace the face movement. Then, a cascade regression tree-based method was used to detect the 68 facial landmarks and an improved method combining key points and image processing was adopted to calculate the eye aspect ratio (EAR). After that, a BP neural network model was developed and trained by selecting three characteristics: the longest period of continuous eye closure, number of yawns, and percentage of eye closure time (PERCLOS), and then the detection results without and with facial expressions were discussed and analyzed. Finally, by introducing the Sigmoid function, a fatigue detection model considering the time accumulation effect was established, and the drivers’ fatigue state was identiﬁed segment by segment through the recorded video. Compared with the traditional BP neural network model, the detection accuracies of the proposed model without and with facial expressions increased by 3.3% and 8.4%, respectively. The number of incorrect detections in the awake state also decreased obviously. The experimental results show that the proposed model can effectively ﬁlter out incorrect detections caused by facial expressions and truly reﬂect that driver fatigue is a time accumulating process.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Behavioral"", ""NN"", ""ML"", ""High Accuracy""]}",10.3390/s22134717,,,
rayyan-243088577,Deep Learning for Detecting Multi-Level Driver Fatigue Using Physiological Signals: A Comprehensive Approach,2023,9,29,Sensors,1424-8220,23,19,8171,"Peivandi, Mohammad and Ardabili, Sevda Zafarmandi and Sheykhivand, Sobhan and Danishvar, Sebelan",https://www.mdpi.com/1424-8220/23/19/8171,en,,,"A large share of trafﬁc accidents is related to driver fatigue. In recent years, many studies have been organized in order to diagnose and warn drivers. In this research, a new approach was presented in order to detect multi-level driver fatigue. A multi-level driver tiredness diagnostic database based on physiological signals including ECG, EEG, EMG, and respiratory effort was developed for this aim. The EEG signal was used for processing and other recorded signals were used to conﬁrm the driver’s fatigue so that fatigue was not conﬁrmed based on self-report questionnaires. A customized architecture based on adversarial generative networks and convolutional neural networks (end-to-end) was utilized to select/extract features and classify different levels of fatigue. In the customized architecture, with the objective of eliminating uncertainty, type 2 fuzzy sets were used instead of activation functions such as Relu and Leaky Relu, and the performance of each was investigated. The ﬁnal accuracy obtained in the three scenarios considered, two-level, three-level, and ﬁve-level, were 96.8%, 95.1%, and 89.1%, respectively. Given the suggested model’s optimal performance, which can identify ﬁve various levels of driver fatigue with high accuracy, it can be employed in practical applications of driver fatigue to warn drivers.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""High accuracy"", ""EEG""]}",10.3390/s23198171,,,
rayyan-243088578,Real-Time Driver Drowsiness Detection System Using Eye Aspect Ratio and Eye Closure Ratio,2019,,,SSRN Electronic Journal,1556-5068,,,,"Mehta, Sukrit and Dadhich, Sharad and Gumber, Sahil and Jadhav Bhatt, Arpita",https://www.ssrn.com/abstract=3356401,en,,,"Every year many people lose their lives due to fatal road accidents around the world and drowsy driving is one of the primary causes of road accidents and death. Fatigue and micro sleep at the driving controls are often the root cause of serious accidents. However, initial signs of fatigue can be detected before a critical situation arises and therefore, detection of driver’s fatigue and its indication is ongoing research topic. Most of the traditional methods to detect drowsiness are based on behavioural aspects while some are intrusive and may distract drivers, while some require expensive sensors. Therefore, in this paper, a light-weight, real time driver’s drowsiness detection system is developed and implemented on Android application. The system records the videos and detects driver’s face in every frame by employing image processing techniques. The system is capable of detecting facial landmarks, computes Eye Aspect Ratio (EAR) and Eye Closure Ratio (ECR) to detect driver’s drowsiness based on adaptive thresholding. Machine learning algorithms have been employed to test the efficacy of the proposed approach. Empirical results demonstrate that the proposed model is able to achieve accuracy of 84% using random forest classifier.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""ML"", ""Behavioral"", ""High Accuracy"", ""EAR + ECR""]}",10.2139/ssrn.3356401,,,
rayyan-243088579,An Adaptive Fatigue Detection System Based on 3D CNNs and Ensemble Models,2023,6,16,Symmetry,2073-8994,15,6,1274,"Sedik, Ahmed and Marey, Mohamed and Mostafa, Hala",https://www.mdpi.com/2073-8994/15/6/1274,en,,,"Due to the widespread issue of road accidents, researchers have been drawn to investigate strategies to prevent them. One major contributing factor to these accidents is driver fatigue resulting from exhaustion. Various approaches have been explored to address this issue, with machine and deep learning proving to be effective in processing images and videos to detect asymmetric signs of fatigue, such as yawning, facial characteristics, and eye closure. This study proposes a multistage system utilizing machine and deep learning techniques. The ﬁrst stage is designed to detect asymmetric states, including tiredness and non-vigilance as well as yawning. The second stage is focused on detecting eye closure. The machine learning approach employs several algorithms, including Support Vector Machine (SVM), k-Nearest Neighbor (KNN), Multi-layer Perceptron (MLP), Decision Tree (DT), Logistic Regression (LR), and Random Forest (RF). Meanwhile, the deep learning approach utilizes 2D and 3D Convolutional Neural Networks (CNNs). The architectures of proposed deep learning models are designed after several trials, and their parameters have been selected to achieve optimal performance. The effectiveness of the proposed methods is evaluated using video and image datasets, where the video dataset is classiﬁed into three states: alert, tired, and non-vigilant, while the image dataset is classiﬁed based on four facial symptoms, including open or closed eyes and yawning. A more robust system is achieved by combining the image and video datasets, resulting in multiple classes for detection. Simulation results demonstrate that the 3D CNN proposed in this study outperforms the other methods, with detection accuracies of 99 percent, 99 percent, and 98 percent for the image, video, and mixed datasets, respectively. Notably, this achievement surpasses the highest accuracy of 97 percent found in the literature, suggesting that the proposed methods for detecting drowsiness are indeed effective solutions.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""High Accuracy"", ""3D CNN"", ""Deep Learning"", ""Behavioral""]}",10.3390/sym15061274,,,
rayyan-243088580,Advancements and Perspectives in Fatigue Driving Detection: A Comprehensive Review,2024,7,7,IECE Transactions on Intelligent Unmanned Systems,2998-9140,1,1,15-Apr,"Yan, Xiao and Abas, Ashardi Bin",https://www.iece.org/article/tius/33/52,en,,,"Driver fatigue is a significant contributor to road accidents worldwide. Timely detection and alert systems for driver fatigue can substantially enhance driving safety and reduce traffic-related casualties. This article presents a comprehensive review of the recent advancements in driver fatigue detection technologies. It categorizes and evaluates detection methods based on physiological signals, behavioral characteristics, vehicle dynamics, and information fusion techniques. Additionally, it scrutinizes the prevalent datasets and methodologies employed in fatigue detection, offering valuable insights for future research directions. Our analysis emphasizes the importance of integrating multimodal data to improve detection accuracy and reliability, underlining the potential of information fusion approaches in developing robust fatigue detection systems. This synthesis aims to serve as a foundational reference for researchers venturing into the domain of driver fatigue detection, paving the way for innovative solutions to combat fatigue-induced road accidents.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Review"", ""Survey only""]}",10.62762/TIUS.2024.767724,,,
rayyan-243088581,Real-Time CNN-Based Driver Distraction & Drowsiness Detection System,2023,,,Intelligent Automation & Soft Computing,1079-8587,37,2,2153-2174,"Ali Almazroi, Abdulwahab and A. Alqarni, Mohammed and Aslam, Nida and Ali Shah, Rizwan",https://www.techscience.com/iasc/v37n2/53251,en,,,"Nowadays days, the chief grounds of automobile accidents are driver fatigue and distractions. With the development of computer vision technology, a cutting-edge system has the potential to spot driver distractions or sleepiness and alert them, reducing accidents. This paper presents a novel approach to detecting driver tiredness based on eye and mouth movements and object identification that causes a distraction while operating a motor vehicle. Employing the facial landmarks that the camera picks up and sends to classify using a Convolutional Neural Network (CNN) any changes by focusing on the eyes and mouth zone, precision is achieved. One of the tasks that must be performed in the transit system is seat belt detection to lessen accidents caused by sudden stops or high-speed collisions with other cars. A method is put forth to use convolution neural networks to determine whether the motorist is wearing a seat belt when a driver is sleepy, preoccupied, or not wearing their seat belt, this system alerts them with an alarm, and if they don’t wake up by a predetermined time of 3 s threshold, an automatic message is sent to law enforcement agencies. The suggested CNN-based model exhibits greater accuracy with 97%. It can be utilized to develop a system that detects driver attention or sleeps in real-time.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Behavioral"", ""Facial landmark"", ""CNN"", ""Deep Learning"", ""High Accuracy""]}",10.32604/iasc.2023.039732,,,
rayyan-243088582,Early Driver Fatigue Detection System: A Cost-Effective and Wearable Approach Utilizing Embedded Machine Learning,2025,1,8,Vehicles,2624-8921,7,1,3,"Lin, Chengyou and Zhu, Xinying and Wang, Renpeng and Zhou, Wei and Li, Na and Xie, Yu",https://www.mdpi.com/2624-8921/7/1/3,en,,,"Driving fatigue is the cause of many traffic accidents and poses a serious threat to road safety. To address this issue, this paper aims to develop a system for the early detection of driver fatigue. The system leverages heart rate variability (HRV) features and embedded machine learning to estimate the driver’s fatigue level. The driver’s HRV is derived from electrocardiogram (ECG) signals captured by a wearable device for analysis. Time- and frequency-domain HRV features are then extracted and used as the input for a machine learning classifier. A dataset of HRV features is collected from a driving simulation experiment involving 18 participants. Four machine learning classifiers are evaluated, and a backpropagation neural network (BPNN) is selected for its superior performance, achieving up to 94.35% accuracy. The optimized classifier is successfully deployed on an embedded system, providing a cost-effective and portable solution for the early detection of driver fatigue. The results demonstrate the feasibility of using HRV-based machine learning models for the early detection of driver fatigue, contributing to enhanced road safety and a reduced accident risk.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""High Accuracy"", ""ECG + HRV"", ""Physiological"", ""ML""]}",10.3390/vehicles7010003,,,
rayyan-243088583,A Methodological Review on Prediction of Multi-Stage Hypovigilance Detection Systems Using Multimodal Features,2021,,,IEEE Access,2169-3536,9,,47530-47564,"Abbas, Qaisar and Alsheddy, Abdullah",https://ieeexplore.ieee.org/document/9385066/,en,,,"Several hypovigilance detection systems (HDx) were developed to avoid road-side accidents due to driver fatigue. They have suffered from several limitations. Notably many of these are focused on center-head position to deﬁne an area of interest (often referred to as PERCLOS (percentage eye closure)) without considering the face occlusion problem, light illumination, and suffer poor response time. These HDx systems mostly depend on image processing, vision-based, and multisensor-based features. To address these problems, the author utilized vision, sensors, environmental, and vehicular-based features that integrated together by fusion to predict multistage of HDx. Lately, few studies have utilized the combination of multimodal features and deep learning (DL) architectures. Those multimodal-based features (M-HDx) were feasible to predict stages of driver fatigue (multi-stage). However, there is a need to critically measure the performance of these M-HDx by carrying out a comparative analysis to recognize multi-stage of fatigue in terms of hardware-based benchmarks. Moreover, it is important to evaluate the M-HDx systems using different features-set with respect to traditional and advanced machine learning techniques. Therefore, the primary aim of this work is in algorithm and feature modeling, then compare the advantages and differences with other work. In this paper, a different study is conducted compare to state-of-the-art survey articles by statistically measuring the performance. After experiments on M-HDx systems, this paper concludes that there is still a research gap to real-time development of multistage M-HDx systems. In the end, the paper summarizes the directions, challenges, and applications in the development of HDx systems to assist other researchers for further research.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Survey only""]}",10.1109/ACCESS.2021.3068343,,,
rayyan-243088584,A Novel Approach for Driver Drowsiness Detection using Deep Neural Networks,2024,2,16,"2024 IEEE International Conference for Women in Innovation, Technology &amp; Entrepreneurship (ICWITE)",979-8-3503-8328-7,,,554-559,"K V, Sharon and B, Natarajan and Madhumitha, P. and Dhanamathi, A and S, Prabu and Saranya, S",https://ieeexplore.ieee.org/document/10503519/,en,IEEE,,,"RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No abstract"", ""Insufficient Info""]}",10.1109/ICWITE59797.2024.10503519,,,
rayyan-243088585,A Proactive In-Car Alarm System for Driver Fatigue Detection Using Machine Learning,2023,12,14,2023 International Conference on Next Generation Electronics (NEleX),979-8-3503-1908-8,,,6-Jan,"P, Usha Sree and Reddy, Redderi Mohith and E, Konguvel and R, Sivakumar",https://ieeexplore.ieee.org/document/10420925/,en,IEEE,,"In numerous research studies, it has been consistently established that driver fatigue represents a predominant factor contributing to a significant portion of traffic accidents, incidents that could have been averted if measures were in place to rouse drowsy drivers. In the scope of this paper, we delve into the development of an affordable and highly efficient in-car alarm system, meticulously engineered to mitigate the risks associated with driver fatigue. Our primary focus centers on the identification of exhaustion and drowsiness indicators, thus laying the foundation for a proactive approach to road safety. Within this study, we employ a drowsiness detection methodology, harnessing the capabilities of machine learning, which serves as the bedrock of the prototype presented herein. Furthermore, our investigations underscore the critical importance of incorporating drivers' EEG signals for optimal sleepiness detection. Beyond this, we introduce a dedicated machine learning model designed to analyze drivers' EEG data, promptly activating alerts, when necessary, thereby further enhancing the safety features integrated into our prototype.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.1109/NEleX59773.2023.10420925,,,
rayyan-243088586,A Quantum Machine Learning framework for Driver Drowsiness Detection using Biopotential Signals and Head Movement Analysis,2024,2,16,"2024 IEEE International Conference for Women in Innovation, Technology &amp; Entrepreneurship (ICWITE)",979-8-3503-8328-7,,,461-466,"De, Sagnik and Gupta, Anil Kumar",https://ieeexplore.ieee.org/document/10502814/,en,IEEE,,"Road accidents claim numerous lives annually, with drowsiness identified as a primary catalyst for a substantial portion of these incidents. This study addresses this critical issue by introducing an innovative approach to gauge human drowsiness levels during driving. The primary objective of this study is to introduce a novel deep-learning technique capable of detecting various alertness levels—awake, drowsy, and very sleepy—while driving. For this purpose, a hybrid model is proposed, leveraging Convolutional Neural Networks (CNN) in conjunction with an Attention-based Quantum Long ShortTerm Memory (QLSTM) network. The designed model employs different biopotential signals, including electroencephalogram (EEG), facial electromyography (EMG), pulse rate, and head movement, to discern a person’s alertness level. Demonstrating remarkable accuracy, the proposed model achieves detection rates of 99%, 98.5%, and 99% for awake, drowsy, and very sleepy states, respectively, thus offering a promising solution to mitigate the impact of drowsiness-related accidents.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""CNN + QLSTM"", ""Hybrid Deep Learning"", ""High Accuracy"", ""EEG + EMG"", ""Physiological + Behavioral"", ""Multimodal""]}",10.1109/ICWITE59797.2024.10502814,,,
rayyan-243088587,A Review of Advancements in Driver Emotion Detection: Deep Learning Approaches and Dataset Analysis,2024,5,16,"2024 4th International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)",979-8-3503-0950-8,,,9-Jan,"Alfaras, Mohammed Shukur and Karan, Oğuz",https://ieeexplore.ieee.org/document/10549432/,en,IEEE,,"This review paper delves into the rapidly evolving field of driver emotion detection, with a specific focus on the contributions of deep learning methodologies and the diverse datasets that facilitate this research. Facial emotion detection and recognition is a highly dynamic and challenging field in Machine Learning (ML) and Artificial Intelligence (AI). It has gained attraction for several decades, but it is extremely challenging due to the intrinsic complexities associated with understanding and interpreting human emotions. Understanding and responding to a driver’s emotions is increasingly important when autonomous or assisted driving becomes common. To ensure safety, comfort, and optimal interaction between the driver and the car’s systems, predicting the emotional state of the driver is essential, also of great significance in practical applications. We give a comprehensive survey of the state-of-the-art driver emotion recognition works that can effectively make use of the recent deep-learning approaches to identify complex emotional cues. Moreover, we explain a variety of datasets that play a vital role in flourishing this field along with the analysis of their effect, like AffectNet, CK+, and EMOTIC. Via this survey we try to investigate the challenges authors are faced with involving this field, e.g., concerns about data privacy, real-time processing demands, and the need for interdisciplinary collaboration. More importantly, the potential of these technologies to improve the driving experience and road safety has been highlighted. We hope this survey can benefit researchers and practitioners to have more insights and provide directions for advancing drivers’ emotions.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Review"", ""Survey only""]}",10.1109/IRASET60544.2024.10549432,,,
rayyan-243088588,A Survey on Drowsiness Detection – Modern Applications and Methods,2024,,,IEEE Transactions on Intelligent Vehicles,"2379-8904, 2379-8858",,,23-Jan,"Fu, Biying and Boutros, Fadi and Lin, Chin-Teng and Damer, Naser",https://ieeexplore.ieee.org/document/10517310/,en,,,"Drowsiness detection holds paramount importance in ensuring safety in workplaces or behind the wheel, enhancing productivity, and healthcare across diverse domains. Therefore accurate and real-time drowsiness detection plays a critical role in preventing accidents, enhancing safety, and ultimately saving lives across various sectors and scenarios. This comprehensive review explores the significance of drowsiness detection in various areas of application, transcending the conventional focus solely on driver drowsiness detection. We delve into the current methodologies, challenges, and technological advancements in drowsiness detection schemes, considering diverse contexts such as public transportation, healthcare, workplace safety, and beyond. By examining the multifaceted implications of drowsiness, this work contributes to a holistic understanding of its impact and the crucial role of accurate and real-time detection techniques in enhancing safety and performance. We identified weaknesses in current algorithms and limitations in existing research such as accurate and real-time detection, stable data transmission, and building bias-free systems. Our survey frames existing works and leads to practical recommendations like mitigating the bias issue by using synthetic data, overcoming the hardware limitations with model compression, and leveraging fusion to boost model performance. This is a pioneering work to survey the topic of drowsiness detection in such an entirely and not only focusing on one single aspect. We consider the topic of drowsiness detection as a dynamic and evolving field, presenting numerous opportunities for further exploration.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Review"", ""Survey only""]}",10.1109/TIV.2024.3395889,,,
rayyan-243088589,A Survey on State-of-the-Art Drowsiness Detection Techniques,2019,,,IEEE Access,2169-3536,7,,61904-61919,"Ramzan, Muhammad and Khan, Hikmat Ullah and Awan, Shahid Mahmood and Ismail, Amina and Ilyas, Mahwish and Mahmood, Ahsan",https://ieeexplore.ieee.org/document/8704263/,en,,,"Drowsiness or fatigue is a major cause of road accidents and has signiﬁcant implications for road safety. Several deadly accidents can be prevented if the drowsy drivers are warned in time. A variety of drowsiness detection methods exist that monitor the drivers’ drowsiness state while driving and alarm the drivers if they are not concentrating on driving. The relevant features can be extracted from facial expressions such as yawning, eye closure, and head movements for inferring the level of drowsiness. The biological condition of the drivers’ body, as well as vehicle behavior, is analyzed for driver drowsiness detection. This paper presents a comprehensive analysis of the existing methods of driver drowsiness detection and presents a detailed analysis of widely used classiﬁcation techniques in this regard. First, in this paper, we classify the existing techniques into three categories: behavioral, vehicular, and physiological parameters-based techniques. Second, top supervised learning techniques used for drowsiness detection are reviewed. Third, the pros and cons and comparative study of the diverse method are discussed. In addition, the research frameworks are elaborated in diagrams for better understanding. In the end, overall research ﬁndings based on the extensive survey are concluded which will help young researchers for ﬁnding potential future work in the relevant ﬁeld.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Review"", ""Survey only""]}",10.1109/ACCESS.2019.2914373,,,
rayyan-243088590,An Acceptable Deep Learning Approach for Detecting Drowsiness,2024,12,16,2024 9th International Conference on Communication and Electronics Systems (ICCES),979-8-3503-7797-2,,,1678-1684,"M, Muthuraja and N, Shanthi and N, Aravindhraj and K, Sarankanth and M, Senthan Vigas and J, Shivaani",https://ieeexplore.ieee.org/document/10859428/,en,IEEE,,"This research addresses the critical issue of driver drowsiness, a significant contributor to road accidents. The study proposes a real-time driver drowsiness monitoring system utilizing state-of-the-art deep learning models, including InceptionV3, Xception, and Densenet121 with Transfer Learning. The system analyzes real-time video or image data to detect signs of drowsiness, such as eye closure, yawning, and head tilting. Evaluation results demonstrate that the Xception model with Transfer Learning achieves the highest accuracy (99.36%), followed by Densenet121 and InceptionV3 with LSTM. The system aims to enhance road safety by providing real-time alerts to drivers and potentially incorporating countermeasures to prevent accidents caused by drowsiness. This research has the potential to significantly impact road safety and contribute to a reduction in traffic accidents worldwide.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Behavioral"", ""High Accuracy"", ""Transfer Learning + LSTM"", ""Deep Learning""]}",10.1109/ICCES63552.2024.10859428,,,
rayyan-243088591,An Effective Hybrid Model for EEG-Based Drowsiness Detection,2019,9,1,IEEE Sensors Journal,"1530-437X, 1558-1748, 2379-9153",19,17,7624-7631,"Budak, Umit and Bajaj, Varun and Akbulut, Yaman and Atila, Orhan and Sengur, Abdulkadir",https://ieeexplore.ieee.org/document/8718312/,en,,,"Early detection of driver drowsiness and the development of a functioning driver alertness system may support the prevention of numerous vehicular accidents worldwide. Wearable sensors and camera-based systems are generally employed in the driver drowsiness detection. Electroencephalogram (or EEG) is considered another effective option for the driver drowsiness detection. Various EEG-based drowsiness detection systems have been proposed to date. In this paper, EEG signals are also used for the detection of drowsiness, with the proposed method being composed of three main building blocks. Both raw EEG signals and their corresponding spectrograms are used in the proposed building blocks. In the ﬁrst building block, while energy distribution and zero-crossing distribution features are calculated from the raw EEG signals, spectral entropy and instantaneous frequency features are extracted from the EEG spectrogram images. In the second building block, deep feature extraction is employed directly on the EEG spectrogram images using pre-trained AlexNet and VGGNet. In the third building block, the tunable Q-factor wavelet transform (TQWT) is used to decompose the EEG signals into related sub-bands. The spectrogram images of the obtained sub-bands and statistical features, such as mean and standard deviation of the sub-bands’ instantaneous frequencies, are then calculated. Each feature group from each building block is fed to a long-short term memory (LSTM) network for the purposes of classiﬁcation. The obtained results from the LSTM networks are then fused with a majority voting layer. The MIT-BIH Polysomnographic database was used in the experimental works. The evaluation of the proposed method was carried out with ten-fold cross validation test and the average accuracy represented accordingly. The obtained average accuracy score was 94.31%. The obtained result was also compared with other results to be found in the literature. The comparison shows that the proposed method’s achievement was found to be better than the compared results.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""MIT-BIH Polysomnographic dataset"", ""LSTM"", ""Deep Learning"", ""EEG"", ""Physiological"", ""High Accuracy""]}",10.1109/JSEN.2019.2917850,,,
rayyan-243088592,Automated Detection of Driver Fatigue Based on Entropy and Complexity Measures,2014,2,1,IEEE Transactions on Intelligent Transportation Systems,"1524-9050, 1558-0016",15,1,168-177,"Zhang, Chi and Wang, Hong and Fu, Rongrong",http://ieeexplore.ieee.org/document/6589164/,en,,,"This paper presents a real-time method based on various entropy and complexity measures for detection and identiﬁcation of driving fatigue from recorded electroencephalogram (EEG), electromyogram, and electrooculogram signals. The complexity features were used to distinguish whether the subjects are experienced drivers by calculating the Lempel–Ziv complexity of EEG approximate entropy (ApEn). Different threshold values can be set for the two kinds of drivers individually. The entropy-based features, namely, the wavelet entropy (WE), the peak-to-peak value of ApEn (PP-ApEn), and the peak-to-peak value of sample entropy (PP-SampEn), were extracted from the collected signals to estimate the driving fatigue stages. We proposed WE in a sliding window (WES), PP-ApEn in a sliding window (PP-ApEnS), and PP-SampEn in a sliding window (PP-SampEnS) for real-time analysis of driver fatigue. The real-time features obtained by WE, PP-ApEn, and PP-SampEn with sliding window were applied to artiﬁcial neural network for training and testing the system, which gives four situations for the fatigue level of the subjects, namely, normal state, mild fatigue, mood swing, and excessive fatigue. Then, the driver fatigue level can be determined in real time. The accuracy of estimation is about 96.5%–99.5%. Receiver operating characteristic (ROC) curve was used to present the performance of the neural network classiﬁer. The area under the ROC curve is 0.9931. The results show that the developed method is valuable for the application of avoiding some trafﬁc accidents caused by driver’s fatigue.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""EEG + EMG + EOG"", ""Physiological"", ""High Accuracy"", ""Deep Learning"", ""ANN""]}",10.1109/TITS.2013.2275192,,,
rayyan-243088593,AUTOMOTIVE: A Case Study on AUTOmatic multiMOdal Drowsiness detecTIon for smart VEhicles,2021,,,IEEE Access,2169-3536,9,,153678-153700,"Esteves, Telma and Pinto, Joao Ribeiro and Ferreira, Pedro M. and Costa, Pedro Amaro and Rodrigues, Lourenco Abrunhosa and Antunes, Ines and Lopes, Gabriel and Gamito, Pedro and Abrantes, Arnaldo J. and Jorge, Pedro M. and Lourenco, Andre and Sequeira, Ana F. and Cardoso, Jaime S. and Rebelo, Ana",https://ieeexplore.ieee.org/document/9614134/,en,,,"As technology and artiﬁcial intelligence conquer a place under the spotlight in the automotive world, driver drowsiness monitoring systems have sparked much interest as a way to increase safety and avoid sleepiness-related accidents. Such technologies, however, stumble upon the observation that each driver presents a distinct set of behavioral and physiological manifestations of drowsiness, thus rendering its objective assessment a non-trivial process. The AUTOMOTIVE project studied the application of signal processing and machine learning techniques for driver-speciﬁc drowsiness detection in smart vehicles, enabled by immersive driving simulators. More broadly, comprehensive research on biometrics using the electrocardiogram (ECG) and face enables the continuous learning of subject-speciﬁc models of drowsiness for more efﬁcient monitoring. This paper aims to offer a holistic but comprehensive view of the research and development work conducted for the AUTOMOTIVE project across the various addressed topics and how it ultimately brings us closer to the target of improved driver drowsiness monitoring.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Case Study""]}",10.1109/ACCESS.2021.3128016,,,
